,project,group,sample,group_idx,type
298,panlab,ALL-TLS_189,P2,2,P2
299,panlab,ALL-TLS_189,P3,3,P3
300,panlab,ALL-TLS_189,P4,4,P4
301,panlab,ALL-TLS_19,HE,0,HE
302,panlab,ALL-TLS_19,P1,1,P1
303,panlab,ALL-TLS_19,P2,2,P2
304,panlab,ALL-TLS_19,P3,3,P3
305,panlab,ALL-TLS_19,P4,4,P4
306,panlab,ALL-TLS_190,HE,0,HE
307,panlab,ALL-TLS_190,P1,1,P1
308,panlab,ALL-TLS_190,P2,2,P2
309,panlab,ALL-TLS_190,P3,3,P3
310,panlab,ALL-TLS_190,P4,4,P4
311,panlab,ALL-TLS_195,HE,0,HE
312,panlab,ALL-TLS_195,P1,1,P1
313,panlab,ALL-TLS_195,P2,2,P2
314,panlab,ALL-TLS_195,P3,3,P3
315,panlab,ALL-TLS_195,P4,4,P4
316,panlab,ALL-TLS_196-FD,HE,0,HE
317,panlab,ALL-TLS_196-FD,P1,1,P1
318,panlab,ALL-TLS_196-FD,P2,2,P2
319,panlab,ALL-TLS_196-FD,P3,3,P3
320,panlab,ALL-TLS_196-FD,P4,4,P4
321,panlab,ALL-TLS_198-P1缺,HE,0,HE
322,panlab,ALL-TLS_198-P1缺,P1,1,P1
323,panlab,ALL-TLS_198-P1缺,P2,2,P2
324,panlab,ALL-TLS_198-P1缺,P3,3,P3
325,panlab,ALL-TLS_198-P1缺,P4,4,P4
326,panlab,ALL-TLS_201-FD,HE,0,HE
327,panlab,ALL-TLS_201-FD,P1,1,P1
328,panlab,ALL-TLS_201-FD,P2,2,P2
329,panlab,ALL-TLS_201-FD,P3,3,P3
330,panlab,ALL-TLS_201-FD,P4,4,P4
331,panlab,ALL-TLS_203-DF,HE,0,HE
332,panlab,ALL-TLS_203-DF,P1,1,P1
333,panlab,ALL-TLS_203-DF,P2,2,P2
334,panlab,ALL-TLS_203-DF,P3,3,P3
335,panlab,ALL-TLS_203-DF,P4,4,P4
336,panlab,ALL-TLS_204,HE,0,HE
337,panlab,ALL-TLS_204,P1,1,P1
338,panlab,ALL-TLS_204,P2,2,P2
339,panlab,ALL-TLS_204,P3,3,P3
340,panlab,ALL-TLS_204,P4,4,P4
341,panlab,ALL-TLS_205-缺P3,P1,0,P1
342,panlab,ALL-TLS_205-缺P3,P2,1,P2
343,panlab,ALL-TLS_205-缺P3,P3,2,P3
344,panlab,ALL-TLS_205-缺P3,P4,3,P4
345,panlab,ALL-TLS_206,HE,0,HE
346,panlab,ALL-TLS_206,P1,1,P1
347,panlab,ALL-TLS_206,P2,2,P2
348,panlab,ALL-TLS_206,P3,3,P3
349,panlab,ALL-TLS_206,P4,4,P4
350,panlab,ALL-TLS_208,HE,0,HE
351,panlab,ALL-TLS_208,P1,1,P1
352,panlab,ALL-TLS_208,P2,2,P2
353,panlab,ALL-TLS_208,P3,3,P3
354,panlab,ALL-TLS_208,P4,4,P4
355,panlab,ALL-TLS_209,HE,0,HE
